M,K,N,fp16_ms,naive_int4_ms,triton_int4_ms,speedup_c_vs_b,time_ratio_c_over_a,fp16_tflops,triton_tflops,w_fp16_mem_mb,packed_w_mem_mb,q_unpacked_mem_mb_route_b,w_dequant_mem_mb_route_b,triton_vs_naive_relerr,triton_vs_naive_cossim,triton_vs_fp16_relerr,triton_vs_fp16_cossim
1,1024,1024,0.0173363196849823,0.17495040893554686,0.024924159049987793,7.019310404201282,1.4376845549046093,0.12096869682304437,0.08414133434929381,2.0,0.5,1.0,2.0,0.0,1.0,0.2005726397037506,0.9807072281837463
8,1024,1024,0.0157695996761322,0.17160192489624024,0.026214399337768556,6.5460941021449885,1.6623376544837023,1.0638961257458461,0.6400000161677603,2.0,0.5,1.0,2.0,0.0,0.9999999403953552,0.19659122824668884,0.9813401103019714
16,1024,1024,0.014970879554748535,0.18488319396972655,0.021432321071624755,8.626372913687916,1.4316006613537111,2.2413133361531217,1.5655995394929143,2.0,0.5,1.0,2.0,0.0,0.9999999403953552,0.19650410115718842,0.9812766313552856
1,2048,2048,0.05286911964416504,0.6204723358154297,0.04417503833770752,14.045767907931811,0.8355546420108199,0.15866744247794218,0.18989475313798515,8.0,2.0,4.0,8.0,0.0003667623968794942,1.0,0.21872955560684204,0.9774154424667358
8,2048,2048,0.05268479824066162,0.6021913528442383,0.03765248060226441,15.993404503819669,0.7146744765021152,1.2737804118267655,1.782322517044577,8.0,2.0,4.0,8.0,0.00032196581014432013,1.0,0.2191801220178604,0.976894199848175
16,2048,2048,0.05104640007019043,0.5917472076416016,0.033127360343933106,17.862793820515595,0.6489656527861304,2.6293279803364458,4.051567242500817,8.0,2.0,4.0,8.0,0.00032205291790887713,1.0,0.2189168930053711,0.9769425988197327
1,4096,4096,0.12210176467895507,2.1725286865234374,0.08608768463134765,25.236230894428548,0.7050486523081787,0.2748071011768374,0.3897704084351876,32.0,8.0,16.0,32.0,0.0003243735118303448,1.0,0.2266966700553894,0.9752684831619263
8,4096,4096,0.13970175743103028,2.197104644775391,0.08726528167724609,25.177305367574064,0.6246541438129604,1.9214894711150974,3.0760853668337265,32.0,8.0,16.0,32.0,0.0,1.0,0.2258417010307312,0.9754056930541992
