M,K,N,fp16_ms,unpack_dequant_ms,naive_int4_total_ms,fp16_tflops,int4_total_tflops,w_fp16_mem_mb,packed_w_mem_mb,q_unpacked_mem_mb,w_dequant_mem_mb,max_abs_error,mean_abs_error,relative_l2_error,cosine_similarity
1,1024,1024,0.016814080476760866,0.2162700843811035,0.19744512557983399,0.12472594043418092,0.01062144225562078,2.0,0.5,1.0,2.0,21.40625,4.80772590637207,0.2005726397037506,0.9807072281837463
8,1024,1024,0.016168960332870484,0.2655846405029297,0.29155328750610354,1.0376187246803352,0.0575442525224442,2.0,0.5,1.0,2.0,22.859375,5.007546424865723,0.19659122824668884,0.9813401103019714
16,1024,1024,0.033762240409851076,0.2068057632446289,0.3619718551635742,0.9938449460898204,0.09269900828294186,2.0,0.5,1.0,2.0,25.421875,5.0262274742126465,0.19650410115718842,0.9812766313552856
1,2048,2048,0.05271552085876465,0.5665075302124023,0.5894947052001953,0.15912975653744837,0.014230166829320694,8.0,2.0,4.0,8.0,40.0625,7.861146450042725,0.2187279909849167,0.9774163961410522
8,2048,2048,0.04946944236755371,0.5486080169677734,0.5937152099609375,1.3565720733495823,0.11303207813122274,8.0,2.0,4.0,8.0,40.0625,7.91651725769043,0.21918199956417084,0.9768937826156616
16,2048,2048,0.05735424041748047,0.5495091247558593,0.6003097534179688,2.3401535269760636,0.22358078847762816,8.0,2.0,4.0,8.0,40.0625,7.862936019897461,0.21891818940639496,0.9769423007965088
1,4096,4096,0.12604255676269532,2.069719085693359,2.1979750061035155,0.2662151011675691,0.015266066223147821,32.0,8.0,16.0,32.0,47.5625,11.393321990966797,0.22669705748558044,0.9752689599990845
8,4096,4096,0.16101375579833985,2.07531005859375,2.2005349731445314,1.6671585273509144,0.12198645296530317,32.0,8.0,16.0,32.0,59.9375,11.453564643859863,0.2258417010307312,0.9754056930541992
