M,K,N,fixed_scale,fp16_ms,predequant_mxfp4_ms,full_naive_mxfp4_ms,triton_mxfp_like_ms,speedup_triton_vs_full_naive,speedup_triton_vs_predequant,time_ratio_triton_over_fp16,fp16_weight_mb,packed_mxfp4_weight_mb,scale_u8_mb,naive_w_dequant_mb,native_mxfp_status,triton_vs_predequant_relerr,triton_vs_predequant_cossim,triton_vs_predequant_max_abs
1,1024,1024,True,0.016680959463119507,0.01677248001098633,2.4440931701660156,0.03241695880889892,75.39551086744993,0.5173983194988063,1.9433509733400327,2.0,0.5,0.03125,2.0,not_supported_on_current_gpu_cc_less_than_10,0.0,1.0,0.0
8,1024,1024,True,0.02130944013595581,0.02594815969467163,2.3957081604003907,0.02990976095199585,80.09787053281438,0.8675482139866495,1.4035920587856534,2.0,0.5,0.03125,2.0,not_supported_on_current_gpu_cc_less_than_10,1.8381184645477333e-06,1.0000001192092896,1.0
1,2048,2048,True,0.0527564811706543,0.049295358657836914,8.008652954101562,0.12190560340881347,65.69552777032197,0.40437319761687823,2.310722790901817,8.0,2.0,0.125,8.0,not_supported_on_current_gpu_cc_less_than_10,0.0003628114936873317,1.0,16.0
8,2048,2048,True,0.05657599925994873,0.055202240943908694,8.137031860351563,0.11819007873535156,68.84699585124918,0.46706323859480836,2.08904977872871,8.0,2.0,0.125,8.0,not_supported_on_current_gpu_cc_less_than_10,0.00031372977537103,1.0,16.0
1,4096,4096,True,0.13997823715209962,0.14992064476013184,32.006328125,0.3376025772094727,94.80475057256746,0.44407434919286887,2.4118218951609993,32.0,8.0,0.5,32.0,not_supported_on_current_gpu_cc_less_than_10,0.0003324868739582598,0.9999998807907104,32.0
8,4096,4096,True,0.1486406421661377,0.16729087829589845,30.62681640625,0.3298908615112305,92.83923860742463,0.507109768150408,2.219385335691075,32.0,8.0,0.5,32.0,not_supported_on_current_gpu_cc_less_than_10,7.393474561467883e-07,1.0000001192092896,1.0
